"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"punti_medi",65.0887573964497,47.3372781065089,76.9230769230769,92.3076923076923,87.5739644970414,110.059171597633,114.792899408284,171.597633136095,153.846153846154,189.349112426036
"punti_medi",62.7218934911243,47.3372781065089,76.9230769230769,92.3076923076923,87.5739644970414,114.792899408284,119.526627218935,173.96449704142,153.846153846154,189.349112426036
"punti_medi",49.7237569060773,33.1491712707182,66.2983425414365,92.8176795580111,89.5027624309392,110.497237569061,107.182320441989,171.270718232044,143.646408839779,193.370165745856
"punti_medi",72.3404255319149,55.3191489361702,76.5957446808511,94.468085106383,92.7659574468085,114.893617021277,105.531914893617,165.957446808511,140.425531914894,178.723404255319
"punti_medi",73.0593607305936,59.3607305936073,82.1917808219178,93.1506849315068,90.4109589041096,114.155251141553,117.808219178082,164.383561643836,150.684931506849,182.648401826484
"punti_medi",76.9230769230769,68.8259109311741,85.0202429149798,87.4493927125506,94.7368421052632,110.121457489879,111.740890688259,157.894736842105,137.651821862348,178.137651821862
"punti_medi",61.0778443113772,57.4850299401198,64.6706586826347,80.2395209580838,87.4251497005988,116.167664670659,130.538922155689,179.640718562874,155.688622754491,197.604790419162
"punti_medi",65.5021834061135,61.1353711790393,78.6026200873362,89.9563318777293,83.8427947598253,111.7903930131,106.550218340611,162.445414847162,149.344978165939,192.139737991266
"punti_medi",61.4525139664804,55.8659217877095,70.391061452514,90.5027932960894,89.3854748603352,128.491620111732,106.145251396648,162.011173184358,128.491620111732,184.357541899441
"punti_medi",58.6046511627907,52.093023255814,66.9767441860465,84.6511627906977,74.4186046511628,120.93023255814,126.511627906977,170.232558139535,150.697674418605,186.046511627907
"punti_medi",69.7674418604651,55.8139534883721,83.7209302325581,92.0930232558139,93.953488372093,108.837209302326,105.116279069767,162.790697674419,153.488372093023,172.093023255814
"punti_medi",65.5021834061135,52.4017467248908,69.8689956331878,94.3231441048035,92.5764192139738,117.903930131004,106.550218340611,161.572052401747,144.10480349345,170.305676855895
"punti_medi",80.3324099722992,72.0221606648199,88.6426592797784,96.398891966759,90.8587257617729,113.573407202216,124.653739612188,155.124653739612,138.504155124654,174.515235457064
"punti_medi",60.6965174129353,56.7164179104478,74.6268656716418,95.5223880597015,90.547263681592,112.437810945274,108.457711442786,154.228855721393,129.353233830846,179.10447761194
"punti_medi",69.7674418604651,61.3953488372093,83.7209302325581,93.0232558139535,92.0930232558139,120.93023255814,109.767441860465,172.093023255814,148.837209302326,195.348837209302
"punti_medi",74.5098039215686,62.7450980392157,82.3529411764706,93.3333333333333,90.1960784313726,112.156862745098,108.235294117647,153.725490196078,133.333333333333,180.392156862745
"punti_medi",72.2433460076046,61.5969581749049,84.4106463878327,95.0570342205323,84.4106463878327,113.307984790875,107.22433460076,156.653992395437,139.163498098859,174.144486692015
"punti_medi",69.9300699300699,41.958041958042,83.9160839160839,90.9090909090909,92.3076923076923,125.874125874126,109.090909090909,167.832167832168,139.86013986014,195.804195804196
"punti_medi",70.4663212435233,62.1761658031088,77.720207253886,89.119170984456,89.119170984456,112.953367875648,108.80829015544,168.911917098446,148.186528497409,186.528497409326
"punti_medi",72.3404255319149,62.9787234042553,79.1489361702128,96.1702127659574,89.3617021276596,123.404255319149,107.234042553191,157.446808510638,136.170212765957,178.723404255319
"punti_medi",67.2811059907834,55.2995391705069,78.3410138248848,94.9308755760369,87.5576036866359,124.423963133641,105.990783410138,170.506912442396,138.248847926267,193.548387096774
"punti_medi",50.2564102564103,43.0769230769231,57.4358974358974,94.3589743589744,87.1794871794872,112.820512820513,112.820512820513,174.358974358974,148.717948717949,173.333333333333
"punti_medi",65.1162790697674,57.8073089700997,71.7607973421927,95.0166112956811,91.6943521594684,107.641196013289,113.621262458472,159.468438538206,143.521594684385,172.757475083056
"punti_medi",60.1092896174863,43.7158469945355,73.224043715847,88.5245901639344,86.3387978142077,114.754098360656,109.289617486339,174.863387978142,148.633879781421,191.256830601093
"punti_medi",67.5105485232068,58.2278481012658,80.168776371308,86.9198312236287,90.295358649789,118.143459915612,105.485232067511,168.776371308017,156.118143459916,185.654008438819
"punti_medi",69.9588477366255,53.4979423868313,78.1893004115226,90.5349794238683,90.5349794238683,110.288065843621,107.818930041152,164.609053497942,148.148148148148,189.300411522634
"punti_medi",74.4186046511628,57.6744186046512,83.7209302325581,90.2325581395349,89.3023255813954,112.558139534884,110.697674418605,167.441860465116,148.837209302326,186.046511627907
"punti_medi",73.224043715847,62.2950819672131,87.431693989071,87.431693989071,87.431693989071,113.661202185792,108.196721311475,174.863387978142,158.469945355191,191.256830601093
"punti_medi",77.1929824561404,70.1754385964912,84.2105263157895,95.4385964912281,90.5263157894737,110.175438596491,114.385964912281,151.578947368421,136.140350877193,164.912280701754
"punti_medi",67.2985781990521,47.39336492891,85.3080568720379,91.9431279620853,91.9431279620853,111.848341232227,113.744075829384,168.720379146919,137.440758293839,189.57345971564
"punti_medi",63.013698630137,57.5342465753425,77.6255707762557,86.7579908675799,86.7579908675799,112.328767123288,158.904109589041,159.817351598174,141.552511415525,184.474885844749
"punti_medi",62.8019323671498,57.0048309178744,72.463768115942,86.9565217391304,80.1932367149758,112.07729468599,141.062801932367,162.31884057971,144.927536231884,183.574879227053
"punti_medi",60.4651162790698,46.5116279069767,68.8372093023256,86.5116279069767,77.2093023255814,109.767441860465,162.790697674419,160.93023255814,142.325581395349,181.395348837209
"punti_medi",63.1578947368421,57.3099415204678,70.1754385964912,91.2280701754386,86.5497076023392,112.280701754386,109.941520467836,169.590643274854,150.877192982456,187.134502923977
"punti_medi",69.1943127962085,62.5592417061611,75.8293838862559,94.7867298578199,89.0995260663507,110.900473933649,114.691943127962,165.876777251185,142.18009478673,180.094786729858
"punti_medi",71.4776632302406,64.6048109965636,81.0996563573883,85.9106529209622,92.7835051546392,113.40206185567,105.154639175258,153.951890034364,137.45704467354,168.384879725086
"punti_medi",65.7777777777778,53.3333333333333,75.5555555555556,94.2222222222222,88.8888888888889,106.666666666667,103.111111111111,168.888888888889,142.222222222222,195.555555555556
"punti_medi",67.2340425531915,59.5744680851064,76.5957446808511,97.0212765957447,90.2127659574468,106.382978723404,104.68085106383,172.765957446808,144.68085106383,195.744680851064
"punti_medi",62.82722513089,54.4502617801047,73.2984293193717,94.2408376963351,90.0523560209424,109.947643979058,108.900523560209,167.539267015707,150.785340314136,188.48167539267
"punti_medi",58.3783783783784,50.8108108108108,70.2702702702703,91.8918918918919,86.4864864864865,113.513513513514,120,165.405405405405,154.594594594595,183.783783783784
"punti_medi",75.4716981132076,67.9245283018868,83.0188679245283,83.7735849056604,86.7924528301887,115.471698113208,119.245283018868,160,143.396226415094,174.339622641509
"punti_medi",56.1576354679803,39.4088669950739,64.0394088669951,90.64039408867,85.7142857142857,115.270935960591,153.694581280788,177.339901477833,162.56157635468,197.044334975369
